code,name,description,Source,Topic,Dataset,Unit of measure,Power code,periodicity,base_period,Derivation method,aggregation_method,Conceptual implications and limitations,Notes from original source,General comments,Reference period,Other data characteristics,geo_type
DT.DIS.PBND.CD,"PPG, bonds (DIS, current US$)",Public and publicly guaranteed debt from bonds that are either publicly issued or privately placed. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.,"World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Disbursements,,,,Annual,,,Sum,,,,,,Country
DT.DIS.PCBK.CD,"PPG, commercial banks (DIS, current US$)",Public and publicly guaranteed commercial bank loans from private banks and other private financial institutions. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.,"World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Disbursements,,,,Annual,,,Sum,,,,,,Country
DT.DIS.PNGB.CD,"PNG, bonds (DIS, current US$)",Nonguaranteed longterm debt from bonds that are privately placed. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.,"World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Disbursements,,,,Annual,,,Sum,,,,,,Country
DT.DIS.PNGC.CD,"PNG, commercial banks and other creditors (DIS, current US$)",Nonguaranteed longterm commercial bank loans from private banks and other private financial institutions. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.,"World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Disbursements,,,,Annual,,,Sum,,,,,,Country
DT.DIS.PROP.CD,"PPG, other private creditors (DIS, current US$)","Public and publicly guaranteed other private credits from manufacturers, exporters, and other suppliers of goods, and bank credits covered by a guarantee of an export credit agency. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Disbursements,,,,Annual,,,Sum,,,,,,Country
DT.DIS.PRVT.CD,"PPG, private creditors (DIS, current US$)","Public and publicly guaranteed debt from private creditors include bonds that are either publicly issued or privately placed; commercial bank loans from private banks and other private financial institutions; and other private credits from manufacturers, exporters, and other suppliers of goods, and bank credits covered by a guarantee of an export credit agency. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Disbursements,,,,Annual,,,Sum,,,,,,Country
DT.DOD.ALLC.CD,"External debt stocks, concessional (DOD, current US$)","Concessional external debt conveys information about the borrower's receipt of aid from official lenders at concessional terms as defined by the Development Assistance Committee (DAC) of the OECD. Concessional debt is defined as loans with an original grant element of 25 percent or more. The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed. It is used as a measure of the overall cost of borrowing. The grant equivalent of a loan is its commitment (present) value, less the discounted present value of its contractual debt service; conventionally, future service payments are discounted at 10 percent. Loans from major regional development banksAfrican Development Bank, Asian Development Bank, and the InterAmerican Development Bankand from the World Bank are classified as concessional according to each institution's classification and not according to the DAC definition, as was the practice in earlier reports. Longterm debt outstanding and disbursed is the total outstanding longterm debt at year end. Longterm external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents and repayable in foreign currency, goods, or services. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Debt outstanding,,,,Annual,,,Sum,,,,,,Country
DT.DOD.ALLC.ZS,Concessional debt (% of total external debt),Concessional debt to total external debt stocks. Concessional debt is defined as loans with an original grant element of 25 percent or more.,"World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Debt ratios & other items,,,,Annual,,,Weighted average,,,,,,Country
DT.DOD.BLAT.CD,"PPG, bilateral (DOD, current US$)","Public and publicly guaranteed bilateral debt includes loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Debt outstanding,,,,Annual,,,Sum,,,,,,Country
DT.DOD.BLTC.CD,"PPG, bilateral concessional (DOD, current US$)","Public and publicly guaranteed bilateral debt includes loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies. Concessional debt is defined as loans with an original grant element of 25 percent or more. The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed. It is used as a measure of the overall cost of borrowing. The grant equivalent of a loan is its commitment (present) value, less the discounted present value of its contractual debt service; conventionally, future service payments are discounted at 10 percent. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Debt outstanding,,,,Annual,,,Sum,,,,,,Country
DT.DOD.DECT.CD,"External debt stocks, total (DOD, current US$)","Total external debt is debt owed to nonresidents repayable in foreign currency, goods, or services. It is the sum of public, publicly guaranteed, and private nonguaranteed longterm debt, shortterm debt, and use of IMF credit. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Debt outstanding,,,,Annual,,,Sum,,,,,,Country
DT.DOD.DECT.CD.CG,Total change in external debt stocks (current US$),Total change in debt stocks shows the variation in debt stock between two consecutive years. Data are in current U.S. dollars.,"World Bank, International Debt Statistics.","Economic Policy & Debt: External debt: Arrears, reschedulings, etc.",,,,Annual,,,Sum,,,,,,Country
DT.DOD.DECT.EX.ZS,"External debt stocks (% of exports of goods, services and income)","Total external debt stocks to exports of goods, services and income.","World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Debt ratios & other items,,,,Annual,,,Weighted average,,,The denominator for this indicator in previous versions of Global Development Finance included workers' remittances. Workers' remittances are no longer included.,,,Country
DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),Total external debt stocks to gross national income.,"World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Debt ratios & other items,,,,Annual,,,Weighted average,,,,,,Country
DT.DOD.DIMF.CD,"Use of IMF credit (DOD, current US$)",,"World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Debt outstanding,,,,Annual,,,Sum,,,,,,Country
DT.DOD.DLXF.CD,"External debt stocks, longterm (DOD, current US$)","Longterm debt is debt that has an original or extended maturity of more than one year. It has three components: public, publicly guaranteed, and private nonguaranteed debt. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Debt outstanding,,,,Annual,,,Sum,,,,,,Country
DT.DOD.DPNG.CD,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",Private nonguaranteed external debt comprises longterm external obligations of private debtors that are not guaranteed for repayment by a public entity. Data are in current U.S. dollars.,"World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Debt outstanding,,,,Annual,,,Sum,,,,,,Country
DT.DOD.DPPG.CD,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)","Public and publicly guaranteed debt comprises longterm external obligations of public debtors, including the national government, political subdivisions (or an agency of either), and autonomous public bodies, and external obligations of private debtors that are guaranteed for repayment by a public entity. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Debt outstanding,,,,Annual,,,Sum,,,,,,Country
DT.DOD.DSTC.CD,"External debt stocks, shortterm (DOD, current US$)",Shortterm external debt is defined as debt that has an original maturity of one year or less. Available data permit no distinction between public and private nonguaranteed shortterm debt. Data are in current U.S. dollars.,"World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Debt outstanding,,,,Annual,,,Sum,,,,,,Country
DT.DOD.DSTC.IR.ZS,Shortterm debt (% of total reserves),Shortterm debt includes all debt having an original maturity of one year or less and interest in arrears on longterm debt. Total reserves includes gold.,"World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Debt ratios & other items,,,,Annual,,,Weighted average,,,,,,Country
DT.DOD.DSTC.XP.ZS,"Shortterm debt (% of exports of goods, services and income)",Shortterm external debt is defined as debt that has an original maturity of one year or less. Available data permit no distinction between public and private nonguaranteed shortterm debt.,"World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Debt ratios & other items,,,,Annual,,,Weighted average,,,The denominator for this indicator in previous versions of Global Development Finance included workers' remittances. Workers' remittances are no longer included.,,,Country
DT.DOD.DSTC.ZS,Shortterm debt (% of total external debt),"Shortterm debt includes all debt having an original maturity of one year or less and interest in arrears on longterm debt. Total external debt is debt owed to nonresidents repayable in foreign currency, goods, or services. Total external debt is the sum of public, publicly guaranteed, and private nonguaranteed longterm debt, use of IMF credit, and shortterm debt. ","World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Debt ratios & other items,,,,Annual,,,Weighted average,,,,,,Country
DT.DOD.MDRI.CD,Debt forgiveness grants (current US$),Debt forgiveness grants data cover both debt cancelled by agreement between debtor and creditor and a reduction in the net present value of nonODA debt achieved by concessional rescheduling or refinancing. The  data are on a disbursement basis and cover flows from all bilateral and multilateral donors. Data are in current U.S. dollars. Regional and unspecified allocations are excluded from aggregate data.,Development Assistance Committee of the Organisation for Economic Cooperation and Development.,Economic Policy & Debt: Official development assistance,,,,Annual,,,Sum,,,,,,Country
DT.DOD.MIBR.CD,"PPG, IBRD (DOD, current US$)",Public and publicly guaranteed debt outstanding from the International Bank for Reconstruction and Development (IBRD) is nonconcessional. Nonconcessional debt excludes loans with an original grant element of 25 percent or more. Data are in current U.S. dollars.,"World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Debt outstanding,,,,Annual,,,Sum,,,,,,Country
DT.DOD.MIDA.CD,"PPG, IDA (DOD, current US$)","Public and publicly guaranteed debt outstanding from the International Development Association (IDA) is concessional. Concessional debt is defined as loans with an original grant element of 25 percent or more. The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed. It is used as a measure of the overall cost of borrowing. The grant equivalent of a loan is its commitment (present) value, less the discounted present value of its contractual debt service; conventionally, future service payments are discounted at 10 percent. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Debt outstanding,,,,Annual,,,Sum,,,,,,Country
DT.DOD.MLAT.CD,"PPG, multilateral (DOD, current US$)","Public and publicly guaranteed multilateral loans include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Debt outstanding,,,,Annual,,,Sum,,,,,,Country
DT.DOD.MLAT.ZS,Multilateral debt (% of total external debt),Multilateral debt to total external debt stocks.,"World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Debt ratios & other items,,,,Annual,,,Weighted average,,,,,,Country
DT.DOD.MLTC.CD,"PPG, multilateral concessional (DOD, current US$)","Public and publicly guaranteed multilateral loans include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Concessional debt is defined as loans with an original grant element of 25 percent or more. The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed. It is used as a measure of the overall cost of borrowing. The grant equivalent of a loan is its commitment (present) value, less the discounted present value of its contractual debt service; conventionally, future service payments are discounted at 10 percent. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Debt outstanding,,,,Annual,,,Sum,,,,,,Country
DT.DOD.MWBG.CD,"IBRD loans and IDA credits (DOD, current US$)",IBRD loans and IDA credits are public and publicly guaranteed debt extended by the World Bank Group. The International Bank for Reconstruction and Development (IBRD) lends at market rates. Credits from the International Development Association (IDA) are at concessional rates. Data are in current U.S. dollars.,"World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Debt outstanding,,,,Annual,,,Sum,,,,,,Country
DT.DOD.OFFT.CD,"PPG, official creditors (DOD, current US$)","Public and publicly guaranteed debt from official creditors includes loans from international organizations (multilateral loans) and loans from governments (bilateral loans). Loans from international organization include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Government loans include loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Debt outstanding,,,,Annual,,,Sum,,,,,,Country
DT.DOD.PBND.CD,"PPG, bonds (DOD, current US$)",Public and publicly guaranteed debt from bonds that are either publicly issued or privately placed. Data are in current U.S. dollars.,"World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Debt outstanding,,,,Annual,,,Sum,,,,,,Country
DT.DOD.PCBK.CD,"PPG, commercial banks (DOD, current US$)",Public and publicly guaranteed commercial bank loans from private banks and other private financial institutions. Data are in current U.S. dollars.,"World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Debt outstanding,,,,Annual,,,Sum,,,,,,Country
DT.DOD.PNGB.CD,"PNG, bonds (DOD, current US$)",Nonguaranteed longterm debt from bonds that are privately placed. Private nonguaranteed longterm debt outstanding and disbursed is an external obligation of a private debtor that is not guaranteed for repayment by a public entity. Data are in current U.S. dollars.,"World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Debt outstanding,,,,Annual,,,Sum,,,,,,Country
DT.DOD.PNGC.CD,"PNG, commercial banks and other creditors (DOD, current US$)",Nonguaranteed longterm commercial bank loans from private banks and other private financial institutions. Private nonguaranteed longterm debt outstanding and disbursed is an external obligation of a private debtor that is not guaranteed for repayment by a public entity. Data are in current U.S. dollars.,"World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Debt outstanding,,,,Annual,,,Sum,,,,,,Country
DT.DOD.PROP.CD,"PPG, other private creditors (DOD, current US$)","Public and publicly guaranteed other private credits from manufacturers, exporters, and other suppliers of goods, and bank credits covered by a guarantee of an export credit agency. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Debt outstanding,,,,Annual,,,Sum,,,,,,Country
DT.DOD.PRVS.CD,"External debt stocks, longterm private sector (DOD, current US$)","Longterm private sector external debt conveys information about the distribution of longterm debt for DRS countries by type of debtor (private banks and private entities). Longterm external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in foreign currency, goods, or services. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Debt outstanding,,,,Annual,,,Sum,,,,,,Country
DT.DOD.PRVT.CD,"PPG, private creditors (DOD, current US$)","Public and publicly guaranteed debt from private creditors include bonds that are either publicly issued or privately placed; commercial bank loans from private banks and other private financial institutions; and other private credits from manufacturers, exporters, and other suppliers of goods, and bank credits covered by a guarantee of an export credit agency. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Debt outstanding,,,,Annual,,,Sum,,,,,,Country
DT.DOD.PUBS.CD,"External debt stocks, longterm public sector (DOD, current US$)","Longterm public sector external debt conveys information about the distribution of longterm debt for DRS countries by type of debtor (central government, state and local government, central bank, public and mixed enterprises, and official development banks). Longterm external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in foreign currency, goods, or services. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Debt outstanding,,,,Annual,,,Sum,,,,,,Country
DT.DOD.PVLX.CD,Present value of external debt (current US$),"Present value of debt is the sum of shortterm external debt plus the discounted sum of total debt service payments due on public, publicly guaranteed, and private nonguaranteed longterm external debt over the life of existing loans. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Debt outstanding,,,,Annual,,,Sum,,,,,,Country
DT.DOD.PVLX.EX.ZS,"Present value of external debt (% of exports of goods, services and primary income)","Present value of debt is the sum of shortterm external debt plus the discounted sum of total debt service payments due on public, publicly guaranteed, and private nonguaranteed longterm external debt over the life of existing loans. The exports denominator is a threeyear average.","World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Debt ratios & other items,,,,Annual,,,,,,,,,Country
DT.DOD.PVLX.GN.ZS,Present value of external debt (% of GNI),"Present value of debt is the sum of shortterm external debt plus the discounted sum of total debt service payments due on public, publicly guaranteed, and private nonguaranteed longterm external debt over the life of existing loans. The GNI denominator is a threeyear average.","World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Debt ratios & other items,,,,Annual,,,,,,,,,Country
DT.DOD.RSDL.CD,"Residual, debt stockflow reconciliation (current US$)","The residual difference, i.e. the change in stock not explained by any of the factors identified under debt stockflow reconciliation, is calculated as the sum of identified accounts minus the change in stock. Where the latter is large it can, in some cases, serve as an illustration of the inconsistencies in the reported data. More often however, it can be explained by specific borrowing phenomenon in individual countries. Data are in current U.S. dollars.","World Bank, International Debt Statistics.","Economic Policy & Debt: External debt: Arrears, reschedulings, etc.",,,,Annual,,,Sum,,,,,,Country
DT.DOD.VTOT.CD,"External debt stocks, variable rate (DOD, current US$)","Variable interest rate is longterm external debt with interest rates that float with movements in a key market rate; for example, the London interbank offered rate (LIBOR) or the U.S. prime rate. This item conveys information about the borrower's exposure to changes in international interest rates. Longterm external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in foreign currency, goods, or services. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Debt outstanding,,,,Annual,,,Sum,,,,,,Country
DT.DSB.DPPG.CD,Debt buyback (current US$),"Debt buyback is the repurchase by a debtor of its own debt, discounted or at par. In the event of a buyback of longterm debt, the face value of the debt bought back will be recorded as a decline in the longterm debt stock, and the cash amount received by creditors will be recorded as a principal repayment. Data are in current U.S. dollars.","World Bank, International Debt Statistics.","Economic Policy & Debt: External debt: Arrears, reschedulings, etc.",,,,Annual,,,Sum,,,,,,Country
DT.DSF.DPPG.CD,Debt stock reduction (current US$),"Debt stock reductions show the amount that has been netted out of the stock of debt using debt conversion schemes such as buybacks and equity swaps or the discounted value of longterm bonds that were issued in exchange for outstanding debt. It includes the effect of any financial operation that will reduce the debt stock other than debt stock restructuring, repayment of principal and debt forgiven. In particular, debt stock reduction will include the face value of debt bought back, the face value of debt swapped for equity (or ""nature"" or ""development""), any face value reduction that might result as the consequence of a bond exchange, and any face value reduction resulting from an exchange of debt for discount bonds. Data are in current U.S. dollars.","World Bank, International Debt Statistics.","Economic Policy & Debt: External debt: Arrears, reschedulings, etc.",,,,Annual,,,Sum,,,,,,Country
DT.DXR.DPPG.CD,Debt stock rescheduled (current US$),Debt stocks rescheduled is the amount of debt outstanding rescheduled in any given year. Data are in current U.S. dollars.,"World Bank, International Debt Statistics.","Economic Policy & Debt: External debt: Arrears, reschedulings, etc.",,,,Annual,,,Sum,,,,,,Country
DT.GPA.DPPG,Average grace period on new external debt commitments (years),"Grace period is the period from the date of signature of the loan or the issue of the financial instrument to the first repayment of principal. To obtain the average, the grace periods for all public and publicly guaranteed loans have been weighted by the amounts of the loans. Public debt is an external obligation of a public debtor, including the national government, a political subdivision (or an agency of either), and autonomous public bodies. Publicly guaranteed debt is an external obligation of a private debtor that is guaranteed for repayment by a public entity.","World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Terms,,,,Annual,,,Weighted average,,,,,,Country
DT.GPA.OFFT,"Average grace period on new external debt commitments, official (years)","Grace period is the period from the date of signature of the loan or the issue of the financial instrument to the first repayment of principal. To obtain the average, the grace periods for all public and publicly guaranteed loans have been weighted by the amounts of the loans. Debt from official creditors includes loans from international organizations (multilateral loans) and loans from governments (bilateral loans). Loans from international organization include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Government loans include loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies.","World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Terms,,,,Annual,,,Weighted average,,,,,,Country
DT.GPA.PRVT,"Average grace period on new external debt commitments, private (years)","Grace period is the period from the date of signature of the loan or the issue of the financial instrument to the first repayment of principal. To obtain the average, the grace periods for all public and publicly guaranteed loans have been weighted by the amounts of the loans. Debt from private creditors include bonds that are either publicly issued or privately placed; commercial bank loans from private banks and other private financial institutions; and other private credits from manufacturers, exporters, and other suppliers of goods, and bank credits covered by a guarantee of an export credit agency.","World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Terms,,,,Annual,,,Weighted average,,,,,,Country
DT.GRE.DPPG,Average grant element on new external debt commitments (%),"The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed. It is used as a measure of the overall cost of borrowing. To obtain the average, the grant elements for all public and publicly guaranteed loans have been weighted by the amounts of the loans. The grant equivalent of a loan is its commitment (present) value, less the discounted present value of its contractual debt service; conventionally, future service payments are discounted at 10 percent. Commitments cover the total amount of loans for which contracts were signed in the year specified. Public debt is an external obligation of a public debtor, including the national government, a political subdivision (or an agency of either), and autonomous public bodies. Publicly guaranteed debt is an external obligation of a private debtor that is guaranteed for repayment by a public entity. Data for private nonguaranteed debt are not available.","World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Terms,,,,Annual,,,Weighted average,,,,,,Country
DT.GRE.OFFT,"Average grant element on new external debt commitments, official (%)","The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed. It is used as a measure of the overall cost of borrowing. To obtain the average, the grant elements for all public and publicly guaranteed loans have been weighted by the amounts of the loans. The grant equivalent of a loan is its commitment (present) value, less the discounted present value of its contractual debt service; conventionally, future service payments are discounted at 10 percent. Commitments cover the total amount of loans for which contracts were signed in the year specified. Debt from official creditors includes loans from international organizations (multilateral loans) and loans from governments (bilateral loans). Loans from international organization include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Government loans include loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies.","World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Terms,,,,Annual,,,Weighted average,,,,,,Country
DT.GRE.PRVT,"Average grant element on new external debt commitments, private (%)","The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed. It is used as a measure of the overall cost of borrowing. To obtain the average, the grant elements for all public and publicly guaranteed loans have been weighted by the amounts of the loans. The grant equivalent of a loan is its commitment (present) value, less the discounted present value of its contractual debt service; conventionally, future service payments are discounted at 10 percent. Commitments cover the total amount of loans for which contracts were signed in the year specified. Debt from private creditors include bonds that are either publicly issued or privately placed; commercial bank loans from private banks and other private financial institutions; and other private credits from manufacturers, exporters, and other suppliers of goods, and bank credits covered by a guarantee of an export credit agency.","World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Terms,,,,Annual,,,Weighted average,,,,,,Country
DT.INR.DPPG,Average interest on new external debt commitments (%),"Interest represents the average interest rate on all new public and publicly guaranteed loans contracted during the year. To obtain the average, the interest rates for all public and publicly guaranteed loans have been weighted by the amounts of the loans. Public debt is an external obligation of a public debtor, including the national government, a political subdivision (or an agency of either), and autonomous public bodies. Publicly guaranteed debt is an external obligation of a private debtor that is guaranteed for repayment by a public entity.","World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Terms,,,,Annual,,,Weighted average,,,,,,Country
DT.INR.OFFT,"Average interest on new external debt commitments, official (%)","Interest represents the average interest rate on all new public and publicly guaranteed loans contracted during the year. To obtain the average, the interest rates for all public and publicly guaranteed loans have been weighted by the amounts of the loans. Debt from official creditors includes loans from international organizations (multilateral loans) and loans from governments (bilateral loans). Loans from international organization include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Government loans include loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies.","World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Terms,,,,Annual,,,Weighted average,,,,,,Country
DT.INR.PRVT,"Average interest on new external debt commitments, private (%)","Interest represents the average interest rate on all new public and publicly guaranteed loans contracted during the year. To obtain the average, the interest rates for all public and publicly guaranteed loans have been weighted by the amounts of the loans. Debt from private creditors include bonds that are either publicly issued or privately placed; commercial bank loans from private banks and other private financial institutions; and other private credits from manufacturers, exporters, and other suppliers of goods, and bank credits covered by a guarantee of an export credit agency.","World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Terms,,,,Annual,,,Weighted average,,,,,,Country
DT.INT.BLAT.CD,"PPG, bilateral (INT, current US$)","Bilateral debt includes loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies. Interest payments are actual amounts of interest paid by the borrower in foreign currency, goods, or services in the year specified. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Interest,,,,Annual,,,Sum,,,,,,Country
DT.INT.BLTC.CD,"PPG, bilateral concessional (INT, current US$)","Bilateral debt includes loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies. Concessional debt is defined as loans with an original grant element of 25 percent or more. The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed. It is used as a measure of the overall cost of borrowing. The grant equivalent of a loan is its commitment (present) value, less the discounted present value of its contractual debt service; conventionally, future service payments are discounted at 10 percent. Interest payments are actual amounts of interest paid by the borrower in foreign currency, goods, or services in the year specified. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Interest,,,,Annual,,,Sum,,,,,,Country
DT.INT.DECT.CD,"Interest payments on external debt, total (INT, current US$)","Interest payments are actual amounts of interest paid by the borrower in foreign currency, goods, or services in the year specified. This item includes interest paid on longterm debt, IMF charges, and interest paid on shortterm debt. Longterm external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in foreign currency, goods, or services. Shortterm external debt is defined as debt that has an original maturity of one year or less. Available data permit no distinction between public and private nonguaranteed shortterm debt. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Interest,,,,Annual,,,Sum,,,,,,Country
DT.INT.DECT.EX.ZS,"Interest payments on external debt (% of exports of goods, services and income)",Total interest payments to exports of goods and services.,"World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Debt ratios & other items,,,,Annual,,,Weighted average,,,The denominator for this indicator in previous versions of Global Development Finance included workers' remittances. Workers' remittances are no longer included.,,,Country
DT.INT.DECT.GN.ZS,Interest payments on external debt (% of GNI),Total interest payments to gross national income.,"World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Debt ratios & other items,,,,Annual,,,Weighted average,,,,,,Country
DT.INT.DIMF.CD,"IMF charges (INT, current US$)","IMF charges cover interest payments with respect to all uses of IMF resources, excluding those resulting from drawings in the reserve tranche. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Interest,,,,Annual,,,Sum,,,,,,Country
DT.INT.DLXF.CD,"Interest payments on external debt, longterm (INT, current US$)","Interest payments on longterm debt are actual amounts of interest paid by the borrower in foreign currency, goods, or services in the year specified. Longterm external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in foreign currency, goods, or services. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Interest,,,,Annual,,,Sum,,,,,,Country
DT.INT.DPNG.CD,"Interest payments on external debt, private nonguaranteed (PNG) (INT, current US$)","Private nonguaranteed external debt is an external obligation of a private debtor that is not guaranteed for repayment by a public entity. Interest payments are actual amounts of interest paid by the borrower in foreign currency, goods, or services in the year specified. Longterm external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents and repayable in foreign currency, goods, or services. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Interest,,,,Annual,,,Sum,,,,,,Country
